Unique Downloads,Mod Rewards,Downloads MA_3,Downloads MA_6,Rewards MA_3,Rewards MA_6,Downloads Std_3,Rewards Std_3,Downloads Growth %,Rewards Growth %,Cumulative Downloads,Cumulative Rewards,Year,Quarter,Month_Name,Month_Num,Downloads Outlier_IQR,Rewards Outlier_IQR,Downloads Outlier_ZScore,Rewards Outlier_ZScore,Downloads Outlier,Rewards Outlier,Month
36937,34329,39949.666666666664,40612.666666666664,37835.333333333336,38346.833333333336,3249.475239686143,3566.4478593319495,-6.533566132746271,-8.98509995227743,849627,785373,2023,1,January,1,False,False,False,False,False,False,2023-01-01
30029,28507,35495.0,38164.5,33518.0,36192.833333333336,4906.5821097786575,4658.746719880801,-18.702114411024173,-16.959422062978824,879656,813880,2023,1,February,2,False,False,False,False,False,False,2023-02-01
27080,25906,31348.666666666668,35916.0,29580.666666666668,34142.666666666664,5059.273893883717,4312.922713582224,-9.820506843384724,-9.124074788648407,906736,839786,2023,1,March,3,False,False,False,False,False,False,2023-03-01
26524,25696,27877.666666666668,33913.666666666664,26703.0,32269.166666666668,1883.73573872062,1565.8342824194797,-2.053175775480054,-0.8106230216938126,933260,865482,2023,2,April,4,False,False,False,False,False,False,2023-04-01
36055,35090,29886.333333333332,32690.666666666668,28897.333333333332,31207.666666666668,5349.450470219659,5364.034426934028,35.93349419393756,36.5582191780822,969315,900572,2023,2,May,5,False,False,False,False,False,False,2023-05-01
40020,39153,34199.666666666664,32774.166666666664,33313.0,31446.833333333332,6936.656279024739,6902.2466632249625,10.997087782554438,11.578797378170425,1009335,939725,2023,2,June,6,False,False,False,False,False,False,2023-06-01
48570,47735,41548.333333333336,34713.0,40659.333333333336,33681.166666666664,6395.948587452322,6455.678611372584,21.364317841079462,21.919137741680082,1057905,987460,2023,3,July,7,False,False,False,False,False,False,2023-07-01
38678,37841,42422.666666666664,36154.5,41576.333333333336,35236.833333333336,5365.866317132149,5373.752630456062,-20.36648136709903,-20.726929925631087,1096583,1025301,2023,3,August,8,False,False,False,False,False,False,2023-08-01
61799,61186,49682.333333333336,41941.0,48920.666666666664,41116.833333333336,11600.56569022965,11717.576982180806,59.778168467862855,61.69234428265638,1158382,1086487,2023,3,September,9,False,False,False,False,False,False,2023-09-01
115350,114934,71942.33333333333,56745.333333333336,71320.33333333333,55989.833333333336,39329.56018484485,39533.03930048047,86.65350572015728,87.84362435851338,1273732,1201421,2023,4,October,10,True,True,False,False,True,True,2023-10-01
117985,117424,98378.0,70400.33333333333,97848.0,69712.16666666667,31705.72877257358,31774.623648439963,2.284351972258336,2.1664607513877554,1391717,1318845,2023,4,November,11,True,True,False,False,True,True,2023-11-01
113373,112906,115569.33333333333,82625.83333333333,115088.0,82004.33333333333,2313.809917286544,2262.933494382952,-3.9089714794253494,-3.8475950401962167,1505090,1431751,2023,4,December,12,True,True,False,False,True,True,2023-12-01
105503,104948,112287.0,92114.66666666667,111759.33333333333,91539.83333333333,6311.4679750435425,6316.5478968605585,-6.941688056239137,-7.048341097904453,1610593,1536699,2024,1,January,1,True,True,False,False,True,True,2024-01-01
87359,86869,102078.33333333333,100228.16666666667,101574.33333333333,99711.16666666667,13340.850997343967,13342.322224160735,-17.197615233690033,-17.22662651980028,1697952,1623568,2024,1,February,2,False,False,False,False,False,False,2024-02-01
79044,78593,90635.33333333333,103102.33333333333,90136.66666666667,102612.33333333333,13530.352557614064,13477.935314184197,-9.518195034283817,-9.526988914342283,1776996,1702161,2024,1,March,3,False,False,False,False,False,False,2024-03-01
44487,44209,70296.66666666667,91291.83333333333,69890.33333333333,90824.83333333333,22735.192463080966,22622.360737406107,-43.718688325489595,-43.74944333464812,1821483,1746370,2024,2,April,4,False,False,False,False,False,False,2024-04-01
60708,60269,61413.0,81745.66666666667,61023.666666666664,81299.0,17289.2837040752,17204.418192235775,36.46233731202373,36.32744463796964,1882191,1806639,2024,2,May,5,False,False,False,False,False,False,2024-05-01
81571,81326,62255.333333333336,76445.33333333333,61934.666666666664,76035.66666666667,18590.358908136594,18614.477063117654,34.366146142188846,34.93835968740149,1963762,1887965,2024,2,June,6,False,False,False,False,False,False,2024-06-01
85461,85252,75913.33333333333,73105.0,75615.66666666667,72753.0,13311.072320941434,13434.787022254328,4.768851675227714,4.8274844453188415,2049223,1973217,2024,3,July,7,False,False,False,False,False,False,2024-07-01
