Month,Downloads,Mod Rewards,Your Reward,Downloads MA_3,Downloads MA_6,Rewards MA_3,Rewards MA_6,YourReward MA_3,Downloads Std_3,Rewards Std_3,Downloads Growth %,Rewards Growth %,YourReward Growth %,Downloads YoY Growth %,Rewards YoY Growth %,Rewards per Download,YourReward per Download,YourReward Share %,Rolling Correlation,Cumulative Downloads,Cumulative Rewards,Cumulative YourReward,Year,Quarter,Month_Name,Month_Num,Downloads Outlier,Rewards Outlier,YourReward Outlier
2021-09-01,38410,35669,35669,34175.666666666664,25326.166666666668,31497.333333333332,23021.833333333332,31497.333333333332,11693.369759540374,11000.66326788223,-11.009684444650391,-10.383900306517258,-10.383900306517258,,,0.9286383754230669,0.9286383754230669,100.0,0.9998064831746474,197037,177219,177219,2021,3,September,9,False,False,False
2021-10-01,40809,38281,38281,40793.666666666664,29173.833333333332,37917.333333333336,26793.166666666668,37917.333333333336,2376.037106893184,2090.3617709222876,6.245769330903417,7.322885418710934,7.322885418710934,12379.816513761467,11606.727828746178,0.9380528804920483,0.9380528804920483,100.0,0.9997264612979941,237846,215500,215500,2021,4,October,10,False,False,False
2021-11-01,43793,40990,40990,41004.0,33960.333333333336,38313.333333333336,31460.833333333332,38313.333333333336,2696.792724700954,2660.6473523060813,7.3121125241981,7.076617643217253,7.076617643217253,1475.2877697841727,1374.4604316546763,0.9359943369944969,0.9359943369944969,100.0,0.9997696826203429,281639,256490,256490,2021,4,November,11,False,False,False
2021-12-01,43868,41022,41022,42823.333333333336,38499.5,40097.666666666664,35797.5,40097.666666666664,1744.866852608911,1573.3608401550355,0.1712602470714586,0.07806782141985824,0.07806782141985824,455.5724417426545,631.3603137814227,0.9351235524756086,0.9351235524756086,100.0,0.999568687379583,325507,297512,297512,2021,4,December,12,False,False,False
2022-01-01,29725,27585,27585,39128.666666666664,39961.166666666664,36532.333333333336,37224.833333333336,36532.333333333336,8143.900560132921,7748.634481851198,-32.23990152275007,-32.75559455901711,-32.75559455901711,224.29631245908794,249.26563687009372,0.9280067283431455,0.9280067283431455,100.0,0.9988413507432913,355232,325097,325097,2022,1,January,1,False,False,False
2022-02-01,26853,24761,24761,33482.0,37243.0,31122.666666666668,34718.0,31122.666666666668,9108.4489898116,8688.575506568002,-9.661900756938602,-10.23744788834512,-10.23744788834512,138.62969874700082,150.99847947288393,0.9220943656202286,0.9220943656202286,100.0,0.9998861202172745,382085,349858,349858,2022,1,February,2,False,False,False
2022-03-01,32584,29862,29862,29720.666666666668,36272.0,27402.666666666668,33750.166666666664,27402.666666666668,2865.5024573943924,2555.383402414089,21.342121923062596,20.600945034530117,20.600945034530117,138.57080099575342,136.83083511777303,0.9164620672722809,0.9164620672722809,100.0,0.9996776825392687,414669,379720,379720,2022,1,March,3,False,False,False
2022-04-01,33145,29888,29888,30860.666666666668,34994.666666666664,28170.333333333332,32351.333333333332,28170.333333333332,3482.057485644558,2952.5978956392632,1.7217039037564552,0.08706717567477096,0.08706717567477096,87.01687073294589,90.94103366766755,0.901734801629205,0.901734801629205,100.0,0.9985693759180241,447814,409608,409608,2022,2,April,4,False,False,False
2022-05-01,54150,49378,49378,39959.666666666664,36720.833333333336,36376.0,33749.333333333336,36376.0,12292.389935782763,11260.06980440175,63.373057776436866,65.21011777301928,65.21011777301928,259.2278094732652,280.2988293284042,0.9118744228993536,0.9118744228993536,100.0,0.9988168206412991,501964,458986,458986,2022,2,May,5,False,False,False
2022-06-01,55794,51915,51915,47696.333333333336,38708.5,43727.0,35564.833333333336,43727.0,12628.604845086149,12051.868444353351,3.0360110803324014,5.137915670946569,5.137915670946569,235.44159201587206,246.05385948540194,0.9304763953113238,0.9304763953113238,100.0,0.9993333682683253,557758,510901,510901,2022,2,June,6,False,False,False
2022-07-01,48193,44391,44391,52712.333333333336,41786.5,48561.333333333336,38365.833333333336,48561.333333333336,3999.2454705023188,3827.904431060603,-13.623328673334045,-14.492921121063274,-14.492921121063274,129.98329754235266,133.37889700856945,0.921108874732845,0.921108874732845,100.0,0.999410397015059,605951,555292,555292,2022,3,July,7,False,False,False
2022-08-01,44718,41431,41431,49568.333333333336,44764.0,45912.333333333336,41144.166666666664,45912.333333333336,5664.635940052399,5405.03518335759,-7.210590749693935,-6.668018291996125,-6.668018291996125,3.6050229368425946,4.092759157831272,0.9264949237443535,0.9264949237443535,100.0,0.9991557361976388,650669,596723,596723,2022,3,August,8,False,False,False
2022-09-01,40571,38207,38207,44494.0,46095.166666666664,41343.0,42535.0,41343.0,3815.934092722253,3092.939055332337,-9.273670557717251,-7.781612802008153,-7.781612802008153,5.626139026295229,7.11542235554683,0.9417317788568189,0.9417317788568189,100.0,0.9974739291195434,691240,634930,634930,2022,3,September,9,False,False,False
2022-10-01,38538,36937,36937,41275.666666666664,46994.0,38858.333333333336,43709.833333333336,38858.333333333336,3149.6851165367834,2316.7186564909916,-5.010968425722806,-3.3239982202214247,-3.3239982202214247,-5.564948908329049,-3.5108800710535237,0.9584565883024547,0.9584565883024547,100.0,0.9969528899923848,729778,671867,671867,2022,4,October,10,False,False,False
2022-11-01,43393,41459,41459,40834.0,45201.166666666664,38867.666666666664,42390.0,38867.666666666664,2438.161807591939,2332.269567038389,12.597955264933303,12.242466903105287,12.242466903105287,-0.9133879843810644,1.144181507684805,0.9554305994054341,0.9554305994054341,100.0,0.9954772686116533,773171,713326,713326,2022,4,November,11,False,False,False
2022-12-01,39519,37718,37718,40483.333333333336,42488.666666666664,38704.666666666664,40023.833333333336,38704.666666666664,2567.140497388744,2417.0755746011405,-8.927707233885652,-9.023372488482595,-9.023372488482595,-9.913832406309842,-8.054214811564531,0.9544269844884739,0.9544269844884739,100.0,0.9908380809518696,812690,751044,751044,2022,4,December,12,False,False,False
2023-01-01,36937,34329,34329,39949.666666666664,40612.666666666664,37835.333333333336,38346.833333333336,37835.333333333336,3249.475239686143,3566.4478593319495,-6.533566132746271,-8.98509995227743,-8.98509995227743,24.262405382674523,24.44806960304513,0.9293932912797466,0.9293932912797466,100.0,0.9787153757601318,849627,785373,785373,2023,1,January,1,False,False,False
2023-02-01,30029,28507,28507,35495.0,38164.5,33518.0,36192.833333333336,33518.0,4906.5821097786575,4658.746719880801,-18.702114411024173,-16.959422062978824,-16.959422062978824,11.8273563475217,15.12862969993134,0.9493156615271904,0.9493156615271904,100.0,0.9957429835911382,879656,813880,813880,2023,1,February,2,False,False,False
2023-03-01,27080,25906,25906,31348.666666666668,35916.0,29580.666666666668,34142.666666666664,29580.666666666668,5059.273893883717,4312.922713582224,-9.820506843384724,-9.124074788648407,-9.124074788648407,-16.891726000491037,-13.247605652668948,0.9566469719350074,0.9566469719350074,100.0,0.9977062123962502,906736,839786,839786,2023,1,March,3,False,False,False
2023-04-01,26524,25696,25696,27877.666666666668,33913.666666666664,26703.0,32269.166666666668,26703.0,1883.73573872062,1565.8342824194797,-2.053175775480054,-0.8106230216938126,-0.8106230216938126,-19.97586362950672,-14.025695931477511,0.9687829889911024,0.9687829889911024,100.0,0.9979895644394904,933260,865482,865482,2023,2,April,4,False,False,False
2023-05-01,36055,35090,35090,29886.333333333332,32690.666666666668,28897.333333333332,31207.666666666668,28897.333333333332,5349.450470219659,5364.034426934028,35.93349419393756,36.5582191780822,36.5582191780822,-33.41643582640813,-28.935963384503218,0.9732353349050062,0.9732353349050062,100.0,0.9947751966474685,969315,900572,900572,2023,2,May,5,False,False,False
2023-06-01,40020,39153,39153,34199.666666666664,32774.166666666664,33313.0,31446.833333333332,33313.0,6936.656279024739,6902.2466632249625,10.997087782554438,11.578797378170425,11.578797378170425,-28.27185718894505,-24.582490609650385,0.978335832083958,0.978335832083958,100.0,0.9928680557865603,1009335,939725,939725,2023,2,June,6,False,False,False
2023-07-01,48570,47735,47735,41548.333333333336,34713.0,40659.333333333336,33681.166666666664,40659.333333333336,6395.948587452322,6455.678611372584,21.364317841079462,21.919137741680082,21.919137741680082,0.7822712842113999,7.533058502849688,0.9828083178917026,0.9828083178917026,100.0,0.9996144126487265,1057905,987460,987460,2023,3,July,7,False,False,False
2023-08-01,38678,37841,37841,42422.666666666664,36154.5,41576.333333333336,35236.833333333336,41576.333333333336,5365.866317132149,5373.752630456062,-20.36648136709903,-20.726929925631087,-20.726929925631087,-13.506865244420595,-8.665009292558711,0.9783597910957134,0.9783597910957134,100.0,0.9999045783742202,1096583,1025301,1025301,2023,3,August,8,False,False,False
2023-09-01,61799,61186,61186,49682.333333333336,41941.0,48920.666666666664,41116.833333333336,48920.666666666664,11600.56569022965,11717.576982180806,59.778168467862855,61.69234428265638,61.69234428265638,52.32308791994282,60.14342921454183,0.9900807456431334,0.9900807456431334,100.0,0.9999794619577376,1158382,1086487,1086487,2023,3,September,9,False,False,False
2023-10-01,115350,114934,114934,71942.33333333333,56745.333333333336,71320.33333333333,55989.833333333336,71320.33333333333,39329.56018484485,39533.03930048047,86.65350572015728,87.84362435851338,87.84362435851338,199.31496185583063,211.16224923518425,0.9963935847420893,0.9963935847420893,100.0,0.9999976997498086,1273732,1201421,1201421,2023,4,October,10,True,True,True
